# Ayni memory, phone B, 2026-09-16 — iroh patched vs unpatched
#
# UNPATCHED baseline (same phone, same morning, only iroh differing):
# USB t+0m 07:52:32 pid=4948 rss_kb=136312 sqlx=7 native_kb=8596
# USB t+1m 07:53:34 pid=4948 rss_kb=282588 sqlx=20 native_kb=146912
# USB t+2m 07:54:35 pid=4948 rss_kb=295272 sqlx=20 native_kb=162692
# USB t+3m 07:55:37 pid=4948 rss_kb=290948 sqlx=20 native_kb=159144
# USB t+4m 07:56:40 pid=4948 rss_kb=346568 sqlx=20 native_kb=211656
# USB t+5m 07:57:42 pid=4948 rss_kb=342420 sqlx=20 native_kb=208432
# USB t+6m 07:58:44 pid=4948 rss_kb=335556 sqlx=20 native_kb=200496
# USB t+7m 07:59:46 pid=4948 rss_kb=328128 sqlx=20 native_kb=12928
#
# PATCHED — the run referenced in the handover:
PATCHED t+0m 08:00:51 pid=6562 rss_kb=239384 sqlx=13 native_kb=47896
PATCHED t+1m 08:01:53 pid=6562 rss_kb=255768 sqlx=13 native_kb=50452
PATCHED t+2m 08:02:55 pid=6562 rss_kb=283172 sqlx=13 native_kb=77140
PATCHED t+3m 08:03:57 pid=6562 rss_kb=282584 sqlx=13 native_kb=76752
PATCHED t+4m 08:04:59 pid=6562 rss_kb=292772 sqlx=14 native_kb=84072
PATCHED t+5m 08:06:01 pid=6562 rss_kb=292584 sqlx=14 native_kb=82968
PATCHED t+6m 08:07:03 pid=6562 rss_kb=296948 sqlx=14 native_kb=97732
PATCHED t+7m 08:08:05 pid=6562 rss_kb=310352 sqlx=14 native_kb=93884
PATCHED t+8m 08:09:07 pid=6562 rss_kb=315800 sqlx=14 native_kb=87800
PATCHED t+9m 08:10:09 pid=6562 rss_kb=307192 sqlx=14 native_kb=89592
PATCHED t+10m 08:11:11 pid=6562 rss_kb=308708 sqlx=14 native_kb=90360
PATCHED t+11m 08:12:13 pid=6562 rss_kb=307840 sqlx=14 native_kb=89184
PATCHED t+12m 08:13:16 pid=6562 rss_kb=309340 sqlx=14 native_kb=89972
PATCHED t+13m 08:14:18 pid=6562 rss_kb=313508 sqlx=14 native_kb=103892
PATCHED t+14m 08:15:20 pid=6562 rss_kb=328720 sqlx=14 native_kb=104600
PATCHED t+15m 08:16:22 pid=6562 rss_kb=322896 sqlx=14 native_kb=93192
PATCHED t+16m 08:17:24 pid=6562 rss_kb=322616 sqlx=14 native_kb=92248
PATCHED t+17m 08:18:26 pid=6562 rss_kb=327244 sqlx=14 native_kb=100420
PATCHED t+18m 08:19:28 pid=6562 rss_kb=325560 sqlx=14 native_kb=95724
PATCHED t+19m 08:20:30 pid=6562 rss_kb=329876 sqlx=14 native_kb=98428
PATCHED t+20m 08:21:32 pid=6562 rss_kb=331288 sqlx=14 native_kb=99228
PATCHED t+21m 08:22:34 pid=6562 rss_kb=323216 sqlx=18 native_kb=123876
PATCHED t+22m 08:23:36 pid=6562 rss_kb=328168 sqlx=20 native_kb=117556
PATCHED t+23m 08:24:38 pid=6562 rss_kb=323516 sqlx=20 native_kb=115108
PATCHED t+24m 08:25:40 pid=6562 rss_kb=327168 sqlx=20 native_kb=118432
PATCHED t+25m 08:26:43 pid=6562 rss_kb=329160 sqlx=20 native_kb=122096
PATCHED t+26m 08:27:45 pid=6562 rss_kb=324060 sqlx=20 native_kb=109856
PATCHED t+27m 08:28:47 pid=6562 rss_kb=329504 sqlx=20 native_kb=124596
PATCHED t+29m 08:29:49 pid=6562 rss_kb=332972 sqlx=20 native_kb=129300
PATCHED t+30m 08:30:51 pid=6562 rss_kb=334316 sqlx=13 native_kb=120404
PATCHED t+31m 08:31:54 pid=6562 rss_kb=313420 sqlx=12 native_kb=103564
PATCHED t+32m 08:32:56 pid=6562 rss_kb=314972 sqlx=12 native_kb=105352
PATCHED t+33m 08:33:58 pid=6562 rss_kb=313056 sqlx=12 native_kb=104696
PATCHED t+34m 08:35:00 pid=6562 rss_kb=313576 sqlx=12 native_kb=104368
PATCHED t+35m 08:36:02 pid=6562 rss_kb=313564 sqlx=12 native_kb=101708
PATCHED t+36m 08:37:04 pid=6562 rss_kb=310172 sqlx=12 native_kb=111160
PATCHED t+37m 08:38:06 pid=6562 rss_kb=321828 sqlx=12 native_kb=106500
PATCHED t+38m 08:39:08 pid=6562 rss_kb=340116 sqlx=20 native_kb=133564
PATCHED t+39m 08:40:11 pid=6562 rss_kb=349900 sqlx=20 native_kb=141708
PATCHED t+40m 08:41:13 pid=6562 rss_kb=349968 sqlx=20 native_kb=143032
PATCHED t+41m 08:42:16 pid=6562 rss_kb=348196 sqlx=20 native_kb=141664
PATCHED t+42m 08:43:18 pid=6562 rss_kb=351120 sqlx=20 native_kb=152152
PATCHED t+43m 08:44:20 pid=6562 rss_kb=363040 sqlx=20 native_kb=149980
PATCHED t+44m 08:45:22 pid=6562 rss_kb=363108 sqlx=20 native_kb=150664
PATCHED t+45m 08:46:25 pid=6562 rss_kb=357928 sqlx=20 native_kb=148924
PATCHED t+46m 08:47:27 pid=6562 rss_kb=359028 sqlx=20 native_kb=142888
PATCHED t+47m 08:48:29 pid=6562 rss_kb=351996 sqlx=20 native_kb=144096
PATCHED t+48m 08:49:32 pid=6562 rss_kb=352084 sqlx=20 native_kb=143408
PATCHED t+49m 08:50:34 pid=6562 rss_kb=356196 sqlx=20 native_kb=144548
PATCHED t+50m 08:51:36 pid=6562 rss_kb=365200 sqlx=20 native_kb=146836
PATCHED t+51m 08:52:38 pid=6562 rss_kb=363896 sqlx=18 native_kb=148984
PATCHED t+52m 08:53:41 pid=6562 rss_kb=353464 sqlx=20 native_kb=137648
PATCHED t+53m 08:54:43 pid=6562 rss_kb=353344 sqlx=20 native_kb=147564
PATCHED t+54m 08:55:46 pid=6562 rss_kb=347788 sqlx=20 native_kb=137712
PATCHED t+55m 08:56:48 pid=6562 rss_kb=358412 sqlx=20 native_kb=156928
PATCHED t+57m 08:57:50 pid=6562 rss_kb=364848 sqlx=20 native_kb=152456
PATCHED t+58m 08:58:52 pid=6562 rss_kb=364656 sqlx=20 native_kb=149368
PATCHED t+59m 08:59:55 pid=6562 rss_kb=363852 sqlx=20 native_kb=156252
PATCHED t+60m 09:00:57 pid=6562 rss_kb=356292 sqlx=20 native_kb=146808
PATCHED t+61m 09:01:59 pid=6562 rss_kb=355604 sqlx=19 native_kb=148332
PATCHED t+62m 09:03:02 pid=6562 rss_kb=355236 sqlx=19 native_kb=145444
PATCHED t+63m 09:04:04 pid=6562 rss_kb=356920 sqlx=19 native_kb=156064
PATCHED t+64m 09:05:06 pid=6562 rss_kb=362800 sqlx=18 native_kb=152844
PATCHED t+65m 09:06:08 pid=6562 rss_kb=359368 sqlx=18 native_kb=148788
PATCHED t+66m 09:07:10 pid=6562 rss_kb=356588 sqlx=18 native_kb=143636
PATCHED t+67m 09:08:12 pid=6562 rss_kb=355768 sqlx=18 native_kb=142856
PATCHED t+68m 09:09:14 pid=6562 rss_kb=333848 sqlx=10 native_kb=116452
PATCHED t+69m 09:10:17 pid=6562 rss_kb=342020 sqlx=13 native_kb=125900
PATCHED t+70m 09:11:18 pid=6562 rss_kb=344736 sqlx=13 native_kb=133008
PATCHED t+71m 09:12:20 pid=6562 rss_kb=357632 sqlx=13 native_kb=133840
PATCHED t+72m 09:13:22 pid=6562 rss_kb=355880 sqlx=13 native_kb=133832
PATCHED t+73m 09:14:25 pid=6562 rss_kb=353784 sqlx=13 native_kb=128004
PATCHED t+215m 11:36:29 pid=6562 rss_kb=431460 sqlx=12 native_kb=197896
PATCHED t+216m 11:37:31 pid=6562 rss_kb=417056 sqlx=12 native_kb=197608
PATCHED t+217m 11:38:33 pid=6562 rss_kb=408396 sqlx=12 native_kb=198416
PATCHED t+218m 11:39:35 pid=6562 rss_kb=409780 sqlx=12 native_kb=211404
PATCHED t+219m 11:40:37 pid=6562 rss_kb=421712 sqlx=12 native_kb=210456
PATCHED t+220m 11:41:39 pid=6562 rss_kb=418776 sqlx=12 native_kb=206960
PATCHED t+221m 11:42:42 pid=6562 rss_kb=412776 sqlx=12 native_kb=200816
PATCHED t+222m 11:43:44 pid=6562 rss_kb=418756 sqlx=12 native_kb=206044
PATCHED t+223m 11:44:46 pid=6562 rss_kb=411440 sqlx=12 native_kb=199760
PATCHED t+224m 11:45:48 pid=6562 rss_kb=418416 sqlx=12 native_kb=205456
PATCHED t+226m 11:46:50 pid=6562 rss_kb=416692 sqlx=10 native_kb=214456
PATCHED t+227m 11:47:52 pid=6562 rss_kb=426144 sqlx=13 native_kb=212000
PATCHED t+228m 11:48:54 pid=6562 rss_kb=427048 sqlx=13 native_kb=211612
PATCHED t+229m 11:49:57 pid=6562 rss_kb=414972 sqlx=13 native_kb=203392
PATCHED t+230m 11:50:59 pid=6562 rss_kb=415388 sqlx=13 native_kb=203816
PATCHED t+231m 11:52:02 pid=6562 rss_kb=415504 sqlx=13 native_kb=203832
PATCHED t+232m 11:53:04 pid=6562 rss_kb=417464 sqlx=13 native_kb=204604
PATCHED t+233m 11:54:05 pid=6562 rss_kb=410964 sqlx=11 native_kb=211628
PATCHED t+234m 11:55:07 pid=6562 rss_kb=426388 sqlx=12 native_kb=207116
PATCHED t+235m 11:56:10 pid=6562 rss_kb=419436 sqlx=12 native_kb=201984
PATCHED t+236m 11:57:12 pid=6562 rss_kb=409404 sqlx=12 native_kb=196756
PATCHED t+237m 11:58:14 pid=6562 rss_kb=407392 sqlx=12 native_kb=195232
PATCHED t+238m 11:59:17 pid=6562 rss_kb=409420 sqlx=12 native_kb=196688
PATCHED t+239m 12:00:19 pid=6562 rss_kb=406948 sqlx=12 native_kb=196092
PATCHED t+240m 12:01:20 pid=6562 rss_kb=408792 sqlx=12 native_kb=206132
PATCHED t+241m 12:02:22 pid=6562 rss_kb=417752 sqlx=10 native_kb=69804
PATCHED t+242m 12:03:25 pid=6562 rss_kb=411628 sqlx=12 native_kb=192488
PATCHED t+243m 12:04:27 pid=6562 rss_kb=412876 sqlx=12 native_kb=200576
PATCHED t+244m 12:05:29 pid=6562 rss_kb=406048 sqlx=12 native_kb=192008
PATCHED t+245m 12:06:32 pid=6562 rss_kb=403656 sqlx=12 native_kb=192348
PATCHED t+246m 12:07:34 pid=6562 rss_kb=410920 sqlx=12 native_kb=198496
PATCHED t+247m 12:08:35 pid=6562 rss_kb=403160 sqlx=12 native_kb=205552
PATCHED t+248m 12:09:37 pid=6562 rss_kb=418064 sqlx=12 native_kb=204920
PATCHED t+249m 12:10:40 pid=6562 rss_kb=417176 sqlx=12 native_kb=201984
PATCHED t+250m 12:11:42 pid=6562 rss_kb=414608 sqlx=12 native_kb=201048
PATCHED t+251m 12:12:44 pid=6562 rss_kb=411960 sqlx=12 native_kb=200964
PATCHED t+252m 12:13:46 pid=6562 rss_kb=410600 sqlx=13 native_kb=197408
PATCHED t+254m 12:14:49 pid=6562 rss_kb=408440 sqlx=13 native_kb=200896
PATCHED t+255m 12:15:50 pid=6562 rss_kb=414888 sqlx=13 native_kb=210944
PATCHED t+256m 12:16:52 pid=6562 rss_kb=413860 sqlx=11 native_kb=205732
PATCHED t+257m 12:17:54 pid=6562 rss_kb=416592 sqlx=11 native_kb=201252
PATCHED t+258m 12:18:56 pid=6562 rss_kb=412712 sqlx=12 native_kb=201748
PATCHED t+259m 12:19:59 pid=6562 rss_kb=413816 sqlx=12 native_kb=201612
PATCHED t+260m 12:21:01 pid=6562 rss_kb=406372 sqlx=12 native_kb=194848
PATCHED t+261m 12:22:03 pid=6562 rss_kb=414008 sqlx=12 native_kb=202056
PATCHED t+262m 12:23:05 pid=6562 rss_kb=409284 sqlx=12 native_kb=206072
PATCHED t+263m 12:24:07 pid=6562 rss_kb=413060 sqlx=12 native_kb=205436
PATCHED t+264m 12:25:09 pid=6562 rss_kb=417876 sqlx=12 native_kb=199564
PATCHED t+265m 12:26:11 pid=6562 rss_kb=413664 sqlx=12 native_kb=201764
PATCHED t+266m 12:27:14 pid=6562 rss_kb=409564 sqlx=13 native_kb=201288
PATCHED t+267m 12:28:16 pid=6562 rss_kb=420180 sqlx=13 native_kb=200308
PATCHED t+268m 12:29:19 pid=6562 rss_kb=413180 sqlx=13 native_kb=200164
PATCHED t+269m 12:30:21 pid=6562 rss_kb=408952 sqlx=13 native_kb=209664
PATCHED t+270m 12:31:22 pid=6562 rss_kb=422296 sqlx=13 native_kb=203056
PATCHED t+271m 12:32:24 pid=6562 rss_kb=415644 sqlx=13 native_kb=199320
PATCHED t+272m 12:33:27 pid=6562 rss_kb=412444 sqlx=13 native_kb=200856
PATCHED t+273m 12:34:29 pid=6562 rss_kb=411060 sqlx=13 native_kb=200240
PATCHED t+274m 12:35:31 pid=6562 rss_kb=406076 sqlx=12 native_kb=193428
PATCHED t+275m 12:36:34 pid=6562 rss_kb=410584 sqlx=13 native_kb=199168
PATCHED t+276m 12:37:36 pid=6562 rss_kb=410988 sqlx=13 native_kb=210580
PATCHED t+277m 12:38:37 pid=6562 rss_kb=420148 sqlx=13 native_kb=209088
PATCHED t+278m 12:39:40 pid=6562 rss_kb=421872 sqlx=13 native_kb=208072
PATCHED t+279m 12:40:42 pid=6562 rss_kb=409488 sqlx=13 native_kb=199628
PATCHED t+280m 12:41:44 pid=6562 rss_kb=416692 sqlx=13 native_kb=204844
PATCHED t+281m 12:42:47 pid=6562 rss_kb=414952 sqlx=13 native_kb=204644
PATCHED t+283m 12:43:49 pid=6562 rss_kb=410220 sqlx=12 native_kb=197176
PATCHED t+284m 12:44:51 pid=6562 rss_kb=411648 sqlx=12 native_kb=209564
PATCHED t+285m 12:45:53 pid=6562 rss_kb=419336 sqlx=12 native_kb=206976
PATCHED t+286m 12:46:55 pid=6562 rss_kb=419268 sqlx=11 native_kb=196204
PATCHED t+287m 12:47:57 pid=6562 rss_kb=415868 sqlx=11 native_kb=202484
PATCHED t+288m 12:48:59 pid=6562 rss_kb=409332 sqlx=12 native_kb=185348
PATCHED t+289m 12:50:02 pid=6562 rss_kb=410424 sqlx=12 native_kb=196952
PATCHED t+290m 12:51:04 pid=6562 rss_kb=410748 sqlx=12 native_kb=197088
PATCHED t+291m 12:52:06 pid=6562 rss_kb=441996 sqlx=20 native_kb=240152
PATCHED t+292m 12:53:08 pid=6562 rss_kb=459224 sqlx=20 native_kb=243916
PATCHED t+293m 12:54:10 pid=6562 rss_kb=485256 sqlx=20 native_kb=268052
PATCHED t+294m 12:55:13 pid=6562 rss_kb=473636 sqlx=19 native_kb=157144
PATCHED t+295m 12:56:16 pid=6562 rss_kb=472360 sqlx=19 native_kb=258976
PATCHED t+296m 12:57:18 pid=6562 rss_kb=469500 sqlx=18 native_kb=256688
PATCHED t+297m 12:58:20 pid=6562 rss_kb=469368 sqlx=18 native_kb=260972
PATCHED t+298m 12:59:22 pid=6562 rss_kb=478704 sqlx=18 native_kb=262912
PATCHED t+299m 13:00:25 pid=6562 rss_kb=478740 sqlx=18 native_kb=261328
PATCHED t+300m 13:01:27 pid=6562 rss_kb=467280 sqlx=18 native_kb=253760
PATCHED t+301m 13:02:30 pid=6562 rss_kb=469472 sqlx=18 native_kb=257760
PATCHED t+302m 13:03:32 pid=6562 rss_kb=471152 sqlx=18 native_kb=257516
PATCHED t+303m 13:04:35 pid=6562 rss_kb=464916 sqlx=18 native_kb=252908
PATCHED t+304m 13:05:37 pid=6562 rss_kb=474460 sqlx=18 native_kb=267960
PATCHED t+305m 13:06:39 pid=6562 rss_kb=480292 sqlx=17 native_kb=260776
PATCHED t+306m 13:07:42 pid=6562 rss_kb=479080 sqlx=18 native_kb=264608
PATCHED t+307m 13:08:44 pid=6562 rss_kb=469000 sqlx=18 native_kb=256140
PATCHED t+308m 13:09:47 pid=6562 rss_kb=474000 sqlx=18 native_kb=259104
PATCHED t+310m 13:10:49 pid=6562 rss_kb=471228 sqlx=18 native_kb=258932
PATCHED t+311m 13:11:51 pid=6562 rss_kb=470676 sqlx=18 native_kb=267928
PATCHED t+312m 13:12:53 pid=6562 rss_kb=484472 sqlx=18 native_kb=271460
PATCHED t+313m 13:13:55 pid=6562 rss_kb=483412 sqlx=18 native_kb=267236
PATCHED t+314m 13:14:58 pid=6562 rss_kb=473096 sqlx=18 native_kb=260268
PATCHED t+315m 13:16:00 pid=6562 rss_kb=479004 sqlx=18 native_kb=265864
PATCHED t+316m 13:17:03 pid=6562 rss_kb=477948 sqlx=18 native_kb=265992
PATCHED t+317m 13:18:05 pid=6562 rss_kb=471728 sqlx=17 native_kb=261472
PATCHED t+318m 13:19:07 pid=6562 rss_kb=475032 sqlx=18 native_kb=271240
PATCHED t+319m 13:20:09 pid=6562 rss_kb=482756 sqlx=18 native_kb=267704
PATCHED t+320m 13:21:12 pid=6562 rss_kb=479684 sqlx=18 native_kb=267756
PATCHED t+321m 13:22:14 pid=6562 rss_kb=446500 sqlx=10 native_kb=234676
PATCHED t+322m 13:23:16 pid=6562 rss_kb=454472 sqlx=12 native_kb=241292
PATCHED t+323m 13:24:19 pid=6562 rss_kb=459928 sqlx=12 native_kb=248864
PATCHED t+324m 13:25:21 pid=6562 rss_kb=459976 sqlx=12 native_kb=251660
PATCHED t+325m 13:26:22 pid=6562 rss_kb=462492 sqlx=12 native_kb=252728
PATCHED t+326m 13:27:24 pid=6562 rss_kb=469116 sqlx=13 native_kb=256696
PATCHED t+327m 13:28:27 pid=6562 rss_kb=464832 sqlx=13 native_kb=253072
PATCHED t+328m 13:29:29 pid=6562 rss_kb=466152 sqlx=13 native_kb=252464
PATCHED t+329m 13:30:32 pid=6562 rss_kb=493592 sqlx=20 native_kb=283392
PATCHED t+330m 13:31:34 pid=6562 rss_kb=501860 sqlx=20 native_kb=290440
